,comm_date,author,author_id,likes,comment,video_id
18,2024-12-07T03:25:18Z,@nisanbagol2003,UC8HuRE4kxUHV7X4hoXtgHhQ,0,Mendingan AA.gim tuh bisa mempertimbangkan bicaranya mana yng baik mana yng ga baik,jFyQPbcXSGQ
19,2024-12-07T03:25:06Z,@nisanbagol2003,UC8HuRE4kxUHV7X4hoXtgHhQ,0,Mendingan AA.gim tuh bisa mempertimbangkan bicaranya mana yng baik mana yng ga baik,jFyQPbcXSGQ
20,2024-12-07T03:20:59Z,@nisanbagol2003,UC8HuRE4kxUHV7X4hoXtgHhQ,0,Bangga jadi stap persiden langsung naek dadanya  setinggi langit  masya allah  amit amit,jFyQPbcXSGQ
21,2024-12-07T03:17:39Z,@nisanbagol2003,UC8HuRE4kxUHV7X4hoXtgHhQ,0,Permintaan masyarakat lah  harus mundur kalo pengen ga hancur agama islam,jFyQPbcXSGQ
22,2024-12-07T03:15:53Z,@nisanbagol2003,UC8HuRE4kxUHV7X4hoXtgHhQ,0,Ga perlu meninggalkan pesan rakyat kecil sudah ga mao denger kembali  kesalahan seorang pendakwa   ga semudah itu  memaafkan nya  jadi dukun aja dah munkin lebih baik   ga mampuh enteh mengikuti aturan nabih  muhamad saw,jFyQPbcXSGQ
23,2024-12-07T03:14:41Z,@sitibanyuwangi886,UCalOTgR-ScAtiJq93Q-naWA,0,Yg ber ilmu tinggi belum tentu ber aklak muliaa,jFyQPbcXSGQ
24,2024-12-07T03:12:23Z,@nisanbagol2003,UC8HuRE4kxUHV7X4hoXtgHhQ,0,Bukan mundur disuruh mundur ga pantes seorang pendakwa seperti itu   itu omongan dukun bukan bahasa ulama  pendapat rakyat juga  harus mundur,jFyQPbcXSGQ
25,2024-12-07T03:10:32Z,@sibadlover1732,UC_al8Ai8GHGFM8QQrDe90Kw,0,"Gus S3TAN... Bnyk tokoh yg hadir PD kejadian . Ada KH. , ad Habib... Mreka smw ketawa mrendhkan pnjual es teh... Mreka menjual agama... Lbih trhormat penjual es teh tsb yg berusaha dgn tenaga dn kringt untk nafkah kluarga,  ltimbang Gus busuk.. KH busuk,, Habib busuk yg hadir dn ikut tertawa menghina penjual es teh.",jFyQPbcXSGQ
26,2024-12-07T03:05:13Z,@RizalRossa-ez8uz,UC3Kb2JVcXBUBZmIyWfpWpNQ,0,Baca tes. Anak SD pun bisa.,jFyQPbcXSGQ
27,2024-12-07T02:59:36Z,@sumarmijemadi3527,UCoAvZGvpKidn5I9laTT1YMA,0,Kalau sudah biasa mulut kotor kasar dalam berdakwah langsung tak ada manfaat langsung dalam berdakwah,jFyQPbcXSGQ
